,author,pronoun,verb,count,total,frequency,rank
40,Clare,I,could not wake,1,548,1.8248175182481752,114.0
41,Clare,I,could repeat,1,548,1.8248175182481752,115.0
42,Clare,I,could sing,1,548,1.8248175182481752,116.0
43,Clare,I,could wish,1,548,1.8248175182481752,117.0
44,Clare,I,cut,1,548,1.8248175182481752,118.0
46,Clare,I,decline,1,548,1.8248175182481752,119.0
47,Clare,I,dedicate,1,548,1.8248175182481752,120.0
50,Clare,I,did presage,1,548,1.8248175182481752,121.0
51,Clare,I,did prove,1,548,1.8248175182481752,122.0
52,Clare,I,did watch,1,548,1.8248175182481752,123.0
53,Clare,I,do delight,1,548,1.8248175182481752,124.0
54,Clare,I,do long,1,548,1.8248175182481752,125.0
55,Clare,I,do love,1,548,1.8248175182481752,126.0
56,Clare,I,drank,1,548,1.8248175182481752,127.0
57,Clare,I,dreaded,1,548,1.8248175182481752,128.0
58,Clare,I,drew,1,548,1.8248175182481752,129.0
59,Clare,I,dropped,1,548,1.8248175182481752,130.0
60,Clare,I,employ,1,548,1.8248175182481752,131.0
61,Clare,I,envied,1,548,1.8248175182481752,132.0
62,Clare,I,envy,1,548,1.8248175182481752,133.0
63,Clare,I,esteem,1,548,1.8248175182481752,134.0
65,Clare,I,feared,1,548,1.8248175182481752,135.0
67,Clare,I,feign had looked,1,548,1.8248175182481752,136.0
68,Clare,I,feign had slept,1,548,1.8248175182481752,137.0
69,Clare,I,feign would have,1,548,1.8248175182481752,138.0
70,Clare,I,feign would tempt,1,548,1.8248175182481752,139.0
71,Clare,I,feign would wind,1,548,1.8248175182481752,140.0
74,Clare,I,fled,1,548,1.8248175182481752,141.0
75,Clare,I,fling,1,548,1.8248175182481752,142.0
76,Clare,I,forget,1,548,1.8248175182481752,143.0
78,Clare,I,gained,1,548,1.8248175182481752,144.0
79,Clare,I,gather,1,548,1.8248175182481752,145.0
80,Clare,I,gathered,1,548,1.8248175182481752,146.0
81,Clare,I,gaze,1,548,1.8248175182481752,147.0
82,Clare,I,go on,1,548,1.8248175182481752,148.0
84,Clare,I,got thro,1,548,1.8248175182481752,149.0
85,Clare,I,grieve,1,548,1.8248175182481752,150.0
88,Clare,I,had been brought up,1,548,1.8248175182481752,151.0
89,Clare,I,had been left,1,548,1.8248175182481752,152.0
90,Clare,I,had caught,1,548,1.8248175182481752,153.0
91,Clare,I,had gone,1,548,1.8248175182481752,154.0
93,Clare,I,had not,1,548,1.8248175182481752,155.0
94,Clare,I,had seen,1,548,1.8248175182481752,156.0
96,Clare,I,hate,1,548,1.8248175182481752,157.0
97,Clare,I,have,1,548,1.8248175182481752,158.0
99,Clare,I,have been led,1,548,1.8248175182481752,159.0
100,Clare,I,have been taken,1,548,1.8248175182481752,160.0
101,Clare,I,have been wishing,1,548,1.8248175182481752,161.0
102,Clare,I,have braved,1,548,1.8248175182481752,162.0
104,Clare,I,have clumb,1,548,1.8248175182481752,163.0
105,Clare,I,have cropped,1,548,1.8248175182481752,164.0
106,Clare,I,have cursed,1,548,1.8248175182481752,165.0
107,Clare,I,have done,1,548,1.8248175182481752,166.0
108,Clare,I,have drawn,1,548,1.8248175182481752,167.0
109,Clare,I,have felt,1,548,1.8248175182481752,168.0
111,Clare,I,have gone,1,548,1.8248175182481752,169.0
112,Clare,I,have got,1,548,1.8248175182481752,170.0
113,Clare,I,have hoped,1,548,1.8248175182481752,171.0
116,Clare,I,have listened,1,548,1.8248175182481752,172.0
118,Clare,I,have loved,1,548,1.8248175182481752,173.0
119,Clare,I,have met,1,548,1.8248175182481752,174.0
120,Clare,I,have mocked,1,548,1.8248175182481752,175.0
121,Clare,I,have not learned,1,548,1.8248175182481752,176.0
122,Clare,I,have not seen,1,548,1.8248175182481752,177.0
123,Clare,I,have paused,1,548,1.8248175182481752,178.0
124,Clare,I,have rambled,1,548,1.8248175182481752,179.0
126,Clare,I,have roamed,1,548,1.8248175182481752,180.0
127,Clare,I,have sat,1,548,1.8248175182481752,181.0
128,Clare,I,have scrambled,1,548,1.8248175182481752,182.0
130,Clare,I,have shaken,1,548,1.8248175182481752,183.0
131,Clare,I,have sheltered,1,548,1.8248175182481752,184.0
132,Clare,I,have sighed,1,548,1.8248175182481752,185.0
134,Clare,I,have stretched,1,548,1.8248175182481752,186.0
135,Clare,I,have swarmed,1,548,1.8248175182481752,187.0
138,Clare,I,have turned,1,548,1.8248175182481752,188.0
139,Clare,I,have ventured,1,548,1.8248175182481752,189.0
142,Clare,I,have wondered,1,548,1.8248175182481752,190.0
143,Clare,I,have wooed,1,548,1.8248175182481752,191.0
146,Clare,I,hide,1,548,1.8248175182481752,192.0
147,Clare,I,hie,1,548,1.8248175182481752,193.0
148,Clare,I,hied,1,548,1.8248175182481752,194.0
149,Clare,I,hoped,1,548,1.8248175182481752,195.0
150,Clare,I,hum,1,548,1.8248175182481752,196.0
151,Clare,I,hung,1,548,1.8248175182481752,197.0
152,Clare,I,jadge not,1,548,1.8248175182481752,198.0
153,Clare,I,joyed,1,548,1.8248175182481752,199.0
156,Clare,I,know not,1,548,1.8248175182481752,200.0
157,Clare,I,lean,1,548,1.8248175182481752,201.0
159,Clare,I,let,1,548,1.8248175182481752,202.0
160,Clare,I,lie,1,548,1.8248175182481752,203.0
161,Clare,I,like,1,548,1.8248175182481752,204.0
162,Clare,I,linger,1,548,1.8248175182481752,205.0
163,Clare,I,live,1,548,1.8248175182481752,206.0
164,Clare,I,long,1,548,1.8248175182481752,207.0
170,Clare,I,lye,1,548,1.8248175182481752,208.0
172,Clare,I,marvel,1,548,1.8248175182481752,209.0
173,Clare,I,may,1,548,1.8248175182481752,210.0
174,Clare,I,may be,1,548,1.8248175182481752,211.0
175,Clare,I,may say,1,548,1.8248175182481752,212.0
176,Clare,I,may view,1,548,1.8248175182481752,213.0
177,Clare,I,may witness,1,548,1.8248175182481752,214.0
178,Clare,I,mean,1,548,1.8248175182481752,215.0
181,Clare,I,might breath,1,548,1.8248175182481752,216.0
182,Clare,I,mingle,1,548,1.8248175182481752,217.0
183,Clare,I,mixed,1,548,1.8248175182481752,218.0
184,Clare,I,mourn,1,548,1.8248175182481752,219.0
185,Clare,I,murmer,1,548,1.8248175182481752,220.0
186,Clare,I,muse,1,548,1.8248175182481752,221.0
187,Clare,I,name,1,548,1.8248175182481752,222.0
188,Clare,I,note,1,548,1.8248175182481752,223.0
189,Clare,I,ope,1,548,1.8248175182481752,224.0
193,Clare,I,paused,1,548,1.8248175182481752,225.0
194,Clare,I,peep,1,548,1.8248175182481752,226.0
195,Clare,I,plod,1,548,1.8248175182481752,227.0
197,Clare,I,pondered,1,548,1.8248175182481752,228.0
198,Clare,I,possest,1,548,1.8248175182481752,229.0
199,Clare,I,pressed,1,548,1.8248175182481752,230.0
200,Clare,I,proceed,1,548,1.8248175182481752,231.0
201,Clare,I,proged,1,548,1.8248175182481752,232.0
202,Clare,I,pursue,1,548,1.8248175182481752,233.0
203,Clare,I,pushed,1,548,1.8248175182481752,234.0
204,Clare,I,put,1,548,1.8248175182481752,235.0
205,Clare,I,questioned,1,548,1.8248175182481752,236.0
206,Clare,I,ran,1,548,1.8248175182481752,237.0
207,Clare,I,rave,1,548,1.8248175182481752,238.0
208,Clare,I,reach,1,548,1.8248175182481752,239.0
209,Clare,I,reached,1,548,1.8248175182481752,240.0
212,Clare,I,reclined,1,548,1.8248175182481752,241.0
214,Clare,I,repine,1,548,1.8248175182481752,242.0
215,Clare,I,retreat,1,548,1.8248175182481752,243.0
217,Clare,I,roamed,1,548,1.8248175182481752,244.0
219,Clare,I,scramble,1,548,1.8248175182481752,245.0
220,Clare,I,scrambled,1,548,1.8248175182481752,246.0
222,Clare,I,seek,1,548,1.8248175182481752,247.0
223,Clare,I,send,1,548,1.8248175182481752,248.0
224,Clare,I,shall hope,1,548,1.8248175182481752,249.0
225,Clare,I,shape,1,548,1.8248175182481752,250.0
226,Clare,I,should be,1,548,1.8248175182481752,251.0
227,Clare,I,should love,1,548,1.8248175182481752,252.0
228,Clare,I,shuddered,1,548,1.8248175182481752,253.0
230,Clare,I,sing,1,548,1.8248175182481752,254.0
232,Clare,I,sluthered,1,548,1.8248175182481752,255.0
233,Clare,I,sought,1,548,1.8248175182481752,256.0
234,Clare,I,stand,1,548,1.8248175182481752,257.0
235,Clare,I,started,1,548,1.8248175182481752,258.0
236,Clare,I,stick,1,548,1.8248175182481752,259.0
239,Clare,I,stooped,1,548,1.8248175182481752,260.0
240,Clare,I,stooped down,1,548,1.8248175182481752,261.0
241,Clare,I,strayd,1,548,1.8248175182481752,262.0
243,Clare,I,take,1,548,1.8248175182481752,263.0
247,Clare,I,thrown by,1,548,1.8248175182481752,264.0
248,Clare,I,took,1,548,1.8248175182481752,265.0
249,Clare,I,traced,1,548,1.8248175182481752,266.0
250,Clare,I,trampled,1,548,1.8248175182481752,267.0
251,Clare,I,tread,1,548,1.8248175182481752,268.0
252,Clare,I,trembled,1,548,1.8248175182481752,269.0
253,Clare,I,tried,1,548,1.8248175182481752,270.0
254,Clare,I,trifle,1,548,1.8248175182481752,271.0
257,Clare,I,used to dread,1,548,1.8248175182481752,272.0
258,Clare,I,used to mark,1,548,1.8248175182481752,273.0
259,Clare,I,used to read,1,548,1.8248175182481752,274.0
260,Clare,I,ventured,1,548,1.8248175182481752,275.0
262,Clare,I,wait,1,548,1.8248175182481752,276.0
264,Clare,I,walked,1,548,1.8248175182481752,277.0
266,Clare,I,wander'd,1,548,1.8248175182481752,278.0
269,Clare,I,watch,1,548,1.8248175182481752,279.0
271,Clare,I,ween,1,548,1.8248175182481752,280.0
274,Clare,I,will,1,548,1.8248175182481752,281.0
276,Clare,I,will be cheated,1,548,1.8248175182481752,282.0
277,Clare,I,will count,1,548,1.8248175182481752,283.0
278,Clare,I,will eat,1,548,1.8248175182481752,284.0
279,Clare,I,will go,1,548,1.8248175182481752,285.0
280,Clare,I,will hazard,1,548,1.8248175182481752,286.0
281,Clare,I,will hie,1,548,1.8248175182481752,287.0
282,Clare,I,will join,1,548,1.8248175182481752,288.0
283,Clare,I,will kiss,1,548,1.8248175182481752,289.0
284,Clare,I,will linger,1,548,1.8248175182481752,290.0
285,Clare,I,will listen,1,548,1.8248175182481752,291.0
286,Clare,I,will rest,1,548,1.8248175182481752,292.0
287,Clare,I,will smile,1,548,1.8248175182481752,293.0
288,Clare,I,will stick,1,548,1.8248175182481752,294.0
289,Clare,I,will wander,1,548,1.8248175182481752,295.0
290,Clare,I,wind,1,548,1.8248175182481752,296.0
