author,i,me,mine,my,myself,our,ours,ourselves,us,we
Clare,6.455649404203282,2.1471433040411796,0.2701703495151153,2.8154594317890966,0.014219492079742912,0.7251940960668884,0.0,0.014219492079742912,0.5829991752694594,1.450388192133777
Smith,9.430135875076049,4.968566213749747,2.129385520178463,9.835733117014804,0.0,0.20279862096937742,0.0,0.0,0.0,0.40559724193875485
Wordsworth,4.428483709506354,0.9861749437135999,0.40935563701319244,2.604990417356679,0.055821223229071695,2.2886701523919393,0.1488565952775245,0.03721414881938113,0.8931395716651471,3.4050946169733733
